BMI,Breakfast 1,Breakfast 2,Lunch 1,Lunch 2,Dinner 1,Dinner 2,Food Type,BMR,Total Calories
15.3,Oatmeal,Fruit Salad,Burrito Bowl,Chicken Wrap,Grilled Salmon,Lentil Soup,Non-Veg,1694,2400
28.8,Cereal,Granola,Grilled Chicken Salad,Sushi,Grilled Salmon,Chicken Stir Fry,Non-Veg,1484,1700
21.1,Egg Sandwich,Yogurt,Grilled Chicken Salad,Soup,Lentil Soup,Grilled Steak,Non-Veg,1581,1850
20.2,Yogurt,Avocado Toast,Pasta Salad,Veggie Wrap,Grilled Steak,Stuffed Peppers,Non-Veg,1499,2000
26.3,Granola,Yogurt,Turkey Sandwich,Sushi,Spaghetti,Veggie Pizza,Veg,1613,1850
21.7,Egg Sandwich,Granola,Soup,Turkey Sandwich,Lentil Soup,Grilled Steak,Non-Veg,1843,2100
15.9,Avocado Toast,Cereal,Turkey Sandwich,Quinoa Salad,Chicken Stir Fry,Grilled Salmon,Non-Veg,1886,2450
30.1,Oatmeal,Avocado Toast,Soup,Pasta Salad,Veggie Pizza,Chicken Curry,Non-Veg,1440,1450
31.3,Yogurt,Cereal,Veggie Wrap,Turkey Sandwich,Grilled Steak,Tacos,Non-Veg,1797,2000
16.5,Egg Sandwich,Scrambled Eggs,Burrito Bowl,Veggie Wrap,Grilled Salmon,Grilled Steak,Non-Veg,1470,2750
17.2,Avocado Toast,Pancakes,Sushi,Veggie Wrap,Grilled Steak,Tacos,Non-Veg,1361,2600
29.2,Cereal,Granola,Turkey Sandwich,Pasta Salad,Stuffed Peppers,Chicken Curry,Non-Veg,1331,1950
18.1,Pancakes,Fruit Salad,Chicken Wrap,Soup,Spaghetti,Grilled Steak,Non-Veg,1614,2550
23.3,Egg Sandwich,Oatmeal,Veggie Wrap,Soup,Spaghetti,Lentil Soup,Non-Veg,1578,1850
27.3,Cereal,Scrambled Eggs,Chicken Wrap,Vegetable Stir Fry,Veggie Pizza,Spaghetti,Non-Veg,1811,2050
18.5,Granola,Smoothie,Soup,Sushi,Grilled Steak,Veggie Pizza,Non-Veg,1650,2500
16.6,Egg Sandwich,Scrambled Eggs,Chicken Wrap,Vegetable Stir Fry,Chicken Curry,Veggie Burger,Non-Veg,1674,2650
23.6,Avocado Toast,Oatmeal,Burrito Bowl,Sushi,Chicken Curry,Grilled Steak,Non-Veg,1623,2200
33.4,Yogurt,Oatmeal,Veggie Wrap,Sushi,Chicken Stir Fry,Stuffed Peppers,Non-Veg,1432,1550
30.6,Granola,Cereal,Chicken Wrap,Turkey Sandwich,Grilled Salmon,Stuffed Peppers,Non-Veg,1805,2150
26.4,Smoothie,Avocado Toast,Burrito Bowl,Vegetable Stir Fry,Tacos,Veggie Burger,Non-Veg,1754,1850
28.3,Oatmeal,Smoothie,Sushi,Soup,Veggie Pizza,Grilled Steak,Non-Veg,1745,1750
18.3,Smoothie,Yogurt,Burrito Bowl,Veggie Wrap,Lentil Soup,Veggie Pizza,Veg,1517,2400
26.4,Avocado Toast,Granola,Veggie Wrap,Chicken Wrap,Lentil Soup,Spaghetti,Non-Veg,1926,1950
34.1,Oatmeal,Granola,Veggie Wrap,Vegetable Stir Fry,Chicken Curry,Chicken Stir Fry,Non-Veg,1785,1800
18.4,Scrambled Eggs,Fruit Salad,Grilled Chicken Salad,Quinoa Salad,Stuffed Peppers,Chicken Curry,Non-Veg,1673,2350
20.4,Granola,Smoothie,Veggie Wrap,Vegetable Stir Fry,Veggie Pizza,Chicken Curry,Non-Veg,1822,2100
25.4,Scrambled Eggs,Oatmeal,Veggie Wrap,Turkey Sandwich,Veggie Pizza,Chicken Stir Fry,Non-Veg,1361,1600
32.5,Granola,Fruit Salad,Quinoa Salad,Veggie Wrap,Grilled Steak,Grilled Salmon,Non-Veg,1541,1550
24.5,Yogurt,Cereal,Burrito Bowl,Soup,Spaghetti,Grilled Steak,Non-Veg,1948,2100
18.3,Avocado Toast,Smoothie,Chicken Wrap,Burrito Bowl,Grilled Steak,Veggie Pizza,Non-Veg,1410,2800
34.0,Scrambled Eggs,Oatmeal,Soup,Chicken Wrap,Grilled Steak,Veggie Burger,Non-Veg,1415,1450
31.3,Avocado Toast,Yogurt,Grilled Chicken Salad,Sushi,Chicken Stir Fry,Spaghetti,Non-Veg,1383,1400
27.6,Egg Sandwich,Avocado Toast,Quinoa Salad,Veggie Wrap,Tacos,Veggie Burger,Non-Veg,1471,1850
31.9,Cereal,Scrambled Eggs,Soup,Pasta Salad,Lentil Soup,Veggie Pizza,Non-Veg,1547,1750
23.6,Granola,Scrambled Eggs,Sushi,Veggie Wrap,Lentil Soup,Chicken Stir Fry,Non-Veg,1793,1850
